AssetSavedQuery	asset.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_assetsavedqueries.asset.cnrm.cloud.google.com.yaml
AssuredWorkloadsWorkload	assuredworkloads.cnrm.cloud.google.com	v1alpha1	absent-from-static-config	apiextensions.k8s.io_v1_customresourcedefinition_assuredworkloadsworkloads.assuredworkloads.cnrm.cloud.google.com.yaml
AutoMLDataset	automl.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_automldatasets.automl.cnrm.cloud.google.com.yaml
BackupDRBackupPlanAssociation	backupdr.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_backupdrbackupplanassociations.backupdr.cnrm.cloud.google.com.yaml
BackupDRBackupPlan	backupdr.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_backupdrbackupplans.backupdr.cnrm.cloud.google.com.yaml
BackupDRBackupVault	backupdr.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_backupdrbackupvaults.backupdr.cnrm.cloud.google.com.yaml
BackupDRManagementServer	backupdr.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_backupdrmanagementservers.backupdr.cnrm.cloud.google.com.yaml
BatchJob	batch.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_batchjobs.batch.cnrm.cloud.google.com.yaml
BatchTask	batch.cnrm.cloud.google.com	v1alpha1	absent-from-static-config	apiextensions.k8s.io_v1_customresourcedefinition_batchtasks.batch.cnrm.cloud.google.com.yaml
BeyondCorpClientConnectorService	beyondcorp.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_beyondcorpclientconnectorservices.beyondcorp.cnrm.cloud.google.com.yaml
BeyondCorpClientGateway	beyondcorp.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_beyondcorpclientgateways.beyondcorp.cnrm.cloud.google.com.yaml
BigLakeCatalog	bigquerybiglake.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_biglakecatalogs.bigquerybiglake.cnrm.cloud.google.com.yaml
BigLakeDatabase	bigquerybiglake.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_biglakedatabases.bigquerybiglake.cnrm.cloud.google.com.yaml
BigLakeTable	bigquerybiglake.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_biglaketables.bigquerybiglake.cnrm.cloud.google.com.yaml
BigQueryAnalyticsHubDataExchange	bigqueryanalyticshub.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_bigqueryanalyticshubdataexchanges.bigqueryanalyticshub.cnrm.cloud.google.com.yaml
BigQueryAnalyticsHubListing	bigqueryanalyticshub.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_bigqueryanalyticshublistings.bigqueryanalyticshub.cnrm.cloud.google.com.yaml
BigQueryConnectionConnection	bigqueryconnection.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_bigqueryconnectionconnections.bigqueryconnection.cnrm.cloud.google.com.yaml
BigQueryDataPolicy	bigquerydatapolicy.cnrm.cloud.google.com	v1alpha1	absent-from-static-config	apiextensions.k8s.io_v1_customresourcedefinition_bigquerydatapolicies.bigquerydatapolicy.cnrm.cloud.google.com.yaml
BigQueryDataTransferConfig	bigquerydatatransfer.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_bigquerydatatransferconfigs.bigquerydatatransfer.cnrm.cloud.google.com.yaml
BigQueryMigrationMigrationWorkflow	bigquerymigration.cnrm.cloud.google.com	v1alpha1	absent-from-static-config	apiextensions.k8s.io_v1_customresourcedefinition_bigquerymigrationmigrationworkflows.bigquerymigration.cnrm.cloud.google.com.yaml
BigQueryReservationAssignment	bigqueryreservation.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_bigqueryreservationassignments.bigqueryreservation.cnrm.cloud.google.com.yaml
BigQueryReservationReservation	bigqueryreservation.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_bigqueryreservationreservations.bigqueryreservation.cnrm.cloud.google.com.yaml
BigtableAuthorizedView	bigtable.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_bigtableauthorizedviews.bigtable.cnrm.cloud.google.com.yaml
BigtableBackup	bigtable.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_bigtablebackups.bigtable.cnrm.cloud.google.com.yaml
BigtableCluster	bigtable.cnrm.cloud.google.com	v1alpha1	absent-from-static-config	apiextensions.k8s.io_v1_customresourcedefinition_bigtableclusters.bigtable.cnrm.cloud.google.com.yaml
