CertificateManagerDNSAuthorization	certificatemanager.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_certificatemanagerdnsauthorizations.certificatemanager.cnrm.cloud.google.com.yaml
CloudDeployDeliveryPipeline	clouddeploy.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_clouddeploydeliverypipelines.clouddeploy.cnrm.cloud.google.com.yaml
ColabRuntime	colab.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_colabruntimes.colab.cnrm.cloud.google.com.yaml
ColabRuntimeTemplate	colab.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_colabruntimetemplates.colab.cnrm.cloud.google.com.yaml
ComposerEnvironment	composer.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_composerenvironments.composer.cnrm.cloud.google.com.yaml
DataformRepository	dataform.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_dataformrepositories.dataform.cnrm.cloud.google.com.yaml
DataplexDataAttributeBinding	dataplex.cnrm.cloud.google.com	v1alpha1	absent-from-static-config	apiextensions.k8s.io_v1_customresourcedefinition_dataplexdataattributebindings.dataplex.cnrm.cloud.google.com.yaml
DataplexGlossary	dataplex.cnrm.cloud.google.com	v1alpha1	absent-from-static-config	apiextensions.k8s.io_v1_customresourcedefinition_dataplexglossaries.dataplex.cnrm.cloud.google.com.yaml
DeviceStreamingSession	devicestreaming.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_devicestreamingsessions.devicestreaming.cnrm.cloud.google.com.yaml
DocumentAIProcessorVersion	documentai.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_documentaiprocessorversions.documentai.cnrm.cloud.google.com.yaml
EssentialContactsContact	essentialcontacts.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_essentialcontactscontacts.essentialcontacts.cnrm.cloud.google.com.yaml
FirestoreDatabase	firestore.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_firestoredatabases.firestore.cnrm.cloud.google.com.yaml
GKEHubMembershipBinding	gkehub.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_gkehubmembershipbindings.gkehub.cnrm.cloud.google.com.yaml
GKEHubNamespace	gkehub.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_gkehubnamespaces.gkehub.cnrm.cloud.google.com.yaml
GKEHubScopeRBACRoleBinding	gkehub.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_gkehubscoperbacrolebindings.gkehub.cnrm.cloud.google.com.yaml
GKEHubScope	gkehub.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_gkehubscopes.gkehub.cnrm.cloud.google.com.yaml
IAPSettings	iap.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_iapsettings.iap.cnrm.cloud.google.com.yaml
KMSAutokeyConfig	kms.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_kmsautokeyconfigs.kms.cnrm.cloud.google.com.yaml
KMSImportJob	kms.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_kmsimportjobs.kms.cnrm.cloud.google.com.yaml
KMSKeyHandle	kms.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_kmskeyhandles.kms.cnrm.cloud.google.com.yaml
LoggingLink	logging.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_logginglinks.logging.cnrm.cloud.google.com.yaml
MemorystoreInstanceEndpoint	memorystore.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_memorystoreinstanceendpoints.memorystore.cnrm.cloud.google.com.yaml
MemorystoreInstance	memorystore.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_memorystoreinstances.memorystore.cnrm.cloud.google.com.yaml
MetastoreBackup	metastore.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_metastorebackups.metastore.cnrm.cloud.google.com.yaml
MetastoreFederation	metastore.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_metastorefederations.metastore.cnrm.cloud.google.com.yaml
MetastoreService	metastore.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_metastoreservices.metastore.cnrm.cloud.google.com.yaml
NotebookInstance	notebooks.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_notebookinstances.notebooks.cnrm.cloud.google.com.yaml
OrgPolicyCustomConstraint	orgpolicy.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_orgpolicycustomconstraints.orgpolicy.cnrm.cloud.google.com.yaml
OrgPolicyPolicy	orgpolicy.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_orgpolicypolicies.orgpolicy.cnrm.cloud.google.com.yaml
PrivilegedAccessManagerEntitlement	privilegedaccessmanager.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_privilegedaccessmanagerentitlements.privilegedaccessmanager.cnrm.cloud.google.com.yaml
PubSubSnapshot	pubsub.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_pubsubsnapshots.pubsub.cnrm.cloud.google.com.yaml
RedisClusterEndpoint	redis.cnrm.cloud.google.com	v1alpha1	absent-from-static-config	apiextensions.k8s.io_v1_customresourcedefinition_redisclusterendpoints.redis.cnrm.cloud.google.com.yaml
RedisCluster	redis.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_redisclusters.redis.cnrm.cloud.google.com.yaml
SecureSourceManagerInstance	securesourcemanager.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_securesourcemanagerinstances.securesourcemanager.cnrm.cloud.google.com.yaml
SecureSourceManagerRepository	securesourcemanager.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_securesourcemanagerrepositories.securesourcemanager.cnrm.cloud.google.com.yaml
SpannerBackupSchedule	spanner.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_spannerbackupschedules.spanner.cnrm.cloud.google.com.yaml
SpannerInstanceConfig	spanner.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_spannerinstanceconfigs.spanner.cnrm.cloud.google.com.yaml
StorageAnywhereCache	storage.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_storageanywherecaches.storage.cnrm.cloud.google.com.yaml
StorageFolder	storage.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_storagefolders.storage.cnrm.cloud.google.com.yaml
StorageManagedFolder	storage.cnrm.cloud.google.com	v1alpha1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_storagemanagedfolders.storage.cnrm.cloud.google.com.yaml
VMwareEngineExternalAddress	vmwareengine.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_vmwareengineexternaladdresses.vmwareengine.cnrm.cloud.google.com.yaml
WorkstationCluster	workstations.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_workstationclusters.workstations.cnrm.cloud.google.com.yaml
WorkstationConfig	workstations.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_workstationconfigs.workstations.cnrm.cloud.google.com.yaml
Workstation	workstations.cnrm.cloud.google.com	v1alpha1,v1beta1	direct-only	apiextensions.k8s.io_v1_customresourcedefinition_workstations.workstations.cnrm.cloud.google.com.yaml
