BigQueryReservationCapacityCommitment	bigqueryreservation.cnrm.cloud.google.com	Terraform	Direct+Terraform
BigQueryReservationReservation	bigqueryreservation.cnrm.cloud.google.com	Direct	Direct
BigtableAppProfile	bigtable.cnrm.cloud.google.com	Terraform	Direct+Terraform
BigtableAuthorizedView	bigtable.cnrm.cloud.google.com	Direct	Direct
BigtableBackup	bigtable.cnrm.cloud.google.com	Direct	Direct
BigtableGCPolicy	bigtable.cnrm.cloud.google.com	Terraform	Direct+Terraform
BigtableInstance	bigtable.cnrm.cloud.google.com	Terraform	Terraform
BigtableLogicalView	bigtable.cnrm.cloud.google.com	Direct	Direct
BigtableMaterializedView	bigtable.cnrm.cloud.google.com	Direct	Direct
BigtableTable	bigtable.cnrm.cloud.google.com	Terraform	Terraform
BillingAccount	billing.cnrm.cloud.google.com	Direct	Direct
BillingBudgetsBudget	billingbudgets.cnrm.cloud.google.com	DCL	DCL+Direct
BinaryAuthorizationAttestor	binaryauthorization.cnrm.cloud.google.com	DCL	DCL
BinaryAuthorizationPlatformPolicy	binaryauthorization.cnrm.cloud.google.com	Direct	Direct
BinaryAuthorizationPolicy	binaryauthorization.cnrm.cloud.google.com	DCL	DCL
CertificateManagerCertificate	certificatemanager.cnrm.cloud.google.com	Terraform	Direct+Terraform
CertificateManagerCertificateIssuanceConfig	certificatemanager.cnrm.cloud.google.com	Direct	Direct
CertificateManagerCertificateMap	certificatemanager.cnrm.cloud.google.com	Terraform	Direct+Terraform
CertificateManagerCertificateMapEntry	certificatemanager.cnrm.cloud.google.com	Terraform	Direct+Terraform
CertificateManagerDNSAuthorization	certificatemanager.cnrm.cloud.google.com	Direct	Direct
CloudAssetFolderFeed	cloudasset.cnrm.cloud.google.com	Terraform	Terraform
CloudAssetOrganizationFeed	cloudasset.cnrm.cloud.google.com	Terraform	Terraform
CloudAssetProjectFeed	cloudasset.cnrm.cloud.google.com	Terraform	Terraform
CloudBuildTrigger	cloudbuild.cnrm.cloud.google.com	Terraform	Terraform
CloudBuildWorkerPool	cloudbuild.cnrm.cloud.google.com	Direct	Direct
CloudDeployAutomation	clouddeploy.cnrm.cloud.google.com	Direct	Direct
CloudDeployDeliveryPipeline	clouddeploy.cnrm.cloud.google.com	Direct	Direct
CloudDeployDeployPolicy	clouddeploy.cnrm.cloud.google.com	Direct	Direct
CloudDeployTarget	clouddeploy.cnrm.cloud.google.com	Direct	Direct
CloudFunctionsFunction	cloudfunctions.cnrm.cloud.google.com	DCL	DCL
CloudFunctions2Function	cloudfunctions2.cnrm.cloud.google.com	Terraform	Terraform
CloudIdentityGroup	cloudidentity.cnrm.cloud.google.com	Direct	Direct
CloudIdentityMembership	cloudidentity.cnrm.cloud.google.com	Direct	Direct
CloudIDSEndpoint	cloudids.cnrm.cloud.google.com	Terraform	Terraform
CloudIOTDevice	cloudiot.cnrm.cloud.google.com	Terraform	Terraform
CloudIOTDeviceRegistry	cloudiot.cnrm.cloud.google.com	Terraform	Terraform
APIQuotaAdjusterSettings	cloudquota.cnrm.cloud.google.com	Direct	Direct
APIQuotaPreference	cloudquota.cnrm.cloud.google.com	Direct	Direct
CloudSchedulerJob	cloudscheduler.cnrm.cloud.google.com	DCL	DCL
CloudSecurityComplianceCloudControl	cloudsecuritycompliance.cnrm.cloud.google.com	Direct	Direct
CloudSecurityComplianceFramework	cloudsecuritycompliance.cnrm.cloud.google.com	Direct	Direct
CloudTalentSolutionCompany	cloudtalentsolution.cnrm.cloud.google.com	Direct	Direct
TasksQueue	cloudtasks.cnrm.cloud.google.com	Direct	Direct
ColabRuntime	colab.cnrm.cloud.google.com	Direct	Direct
ColabRuntimeTemplate	colab.cnrm.cloud.google.com	Direct	Direct
ComposerEnvironment	composer.cnrm.cloud.google.com	Direct	Direct
ComputeAddress	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeAutoscaler	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeBackendBucket	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeBackendBucketSignedURLKey	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeBackendService	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeBackendServiceSignedURLKey	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeDisk	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeDiskResourcePolicyAttachment	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeExternalVPNGateway	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeFirewall	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeFirewallPolicy	compute.cnrm.cloud.google.com	DCL	DCL+Direct
ComputeFirewallPolicyAssociation	compute.cnrm.cloud.google.com	DCL	DCL
ComputeFirewallPolicyRule	compute.cnrm.cloud.google.com	Direct	Direct
ComputeForwardingRule	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeFutureReservation	compute.cnrm.cloud.google.com	Direct	Direct
ComputeGlobalNetworkEndpoint	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeGlobalNetworkEndpointGroup	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeHTTPHealthCheck	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeHTTPSHealthCheck	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeHealthCheck	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeImage	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeInstance	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeInstanceGroup	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeInstanceGroupManager	compute.cnrm.cloud.google.com	DCL	DCL+Direct
ComputeInstanceGroupNamedPort	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeInstanceTemplate	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeInterconnectAttachment	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeMachineImage	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeManagedSSLCertificate	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeNetwork	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeNetworkAttachment	compute.cnrm.cloud.google.com	Direct	Direct
ComputeNetworkEdgeSecurityService	compute.cnrm.cloud.google.com	Direct	Direct
ComputeNetworkEndpoint	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeNetworkEndpointGroup	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeNetworkFirewallPolicy	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeNetworkFirewallPolicyAssociation	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeNetworkFirewallPolicyRule	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeNetworkPeering	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeNetworkPeeringRoutesConfig	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeNodeGroup	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeNodeTemplate	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeOrganizationSecurityPolicy	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeOrganizationSecurityPolicyAssociation	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeOrganizationSecurityPolicyRule	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputePacketMirroring	compute.cnrm.cloud.google.com	DCL	DCL
ComputePerInstanceConfig	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeProjectMetadata	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeRegionAutoscaler	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeRegionDiskResourcePolicyAttachment	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeRegionNetworkEndpointGroup	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeRegionPerInstanceConfig	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeRegionSSLPolicy	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeReservation	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeResourcePolicy	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeRoute	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeRouter	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeRouterInterface	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeRouterNAT	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeRouterPeer	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeSSLCertificate	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeSSLPolicy	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeSecurityPolicy	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeServiceAttachment	compute.cnrm.cloud.google.com	DCL	DCL
ComputeSharedVPCHostProject	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeSharedVPCServiceProject	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeSnapshot	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeSubnetwork	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeTargetGRPCProxy	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeTargetHTTPProxy	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeTargetHTTPSProxy	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeTargetInstance	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeTargetPool	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeTargetSSLProxy	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeTargetTCPProxy	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeTargetVPNGateway	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeURLMap	compute.cnrm.cloud.google.com	Terraform	Direct+Terraform
ComputeVPNGateway	compute.cnrm.cloud.google.com	Terraform	Terraform
ComputeVPNTunnel	compute.cnrm.cloud.google.com	Terraform	Terraform
ConfigControllerInstance	configcontroller.cnrm.cloud.google.com	DCL	DCL
ConfigDeliveryFleetPackage	configdelivery.cnrm.cloud.google.com	Direct	Direct
ConfigDeploymentGroup	configdeployment.cnrm.cloud.google.com	Direct	Direct
CCInsightsPhraseMatcher	contactcenterinsights.cnrm.cloud.google.com	Direct	Direct
CCInsightsView	contactcenterinsights.cnrm.cloud.google.com	Direct	Direct
ContainerCluster	container.cnrm.cloud.google.com	Terraform	Terraform
ContainerNodePool	container.cnrm.cloud.google.com	Terraform	Terraform
ContainerAnalysisNote	containeranalysis.cnrm.cloud.google.com	DCL	DCL
ContainerAnalysisOccurrence	containeranalysis.cnrm.cloud.google.com	Terraform	Terraform
ContainerAttachedCluster	containerattached.cnrm.cloud.google.com	Terraform	Terraform
DataCatalogEntry	datacatalog.cnrm.cloud.google.com	Direct	Direct
DataCatalogEntryGroup	datacatalog.cnrm.cloud.google.com	Direct	Direct
DataCatalogPolicyTag	datacatalog.cnrm.cloud.google.com	Terraform	Terraform
DataCatalogTag	datacatalog.cnrm.cloud.google.com	Direct	Direct
DataCatalogTagTemplate	datacatalog.cnrm.cloud.google.com	Direct	Direct
DataCatalogTaxonomy	datacatalog.cnrm.cloud.google.com	Terraform	Terraform
DataflowFlexTemplateJob	dataflow.cnrm.cloud.google.com	Terraform	Direct+Terraform
DataflowJob	dataflow.cnrm.cloud.google.com	Terraform	Direct+Terraform
DataformRepository	dataform.cnrm.cloud.google.com	Direct	Direct
DataformTeamFolder	dataform.cnrm.cloud.google.com	Direct	Direct
DataFusionInstance	datafusion.cnrm.cloud.google.com	DCL	DCL
DataLabelingInstruction	datalabeling.cnrm.cloud.google.com	Direct	Direct
DatabaseMigrationConversionWorkspace	datamigration.cnrm.cloud.google.com	Direct	Direct
DatabaseMigrationMigrationJob	datamigration.cnrm.cloud.google.com	Direct	Direct
DataplexEntryGroup	dataplex.cnrm.cloud.google.com	Direct	Direct
DataplexEntryType	dataplex.cnrm.cloud.google.com	Direct	Direct
DataplexLake	dataplex.cnrm.cloud.google.com	Direct	Direct
DataplexMetadataJob	dataplex.cnrm.cloud.google.com	Direct	Direct
DataplexTask	dataplex.cnrm.cloud.google.com	Direct	Direct
DataplexZone	dataplex.cnrm.cloud.google.com	Direct	Direct
DataprocAutoscalingPolicy	dataproc.cnrm.cloud.google.com	DCL	DCL+Direct
DataprocBatch	dataproc.cnrm.cloud.google.com	Direct	Direct
DataprocCluster	dataproc.cnrm.cloud.google.com	DCL	DCL+Direct
DataprocJob	dataproc.cnrm.cloud.google.com	Direct	Direct
DataprocSession	dataproc.cnrm.cloud.google.com	Direct	Direct
DataprocSessionTemplate	dataproc.cnrm.cloud.google.com	Direct	Direct
DataprocWorkflowTemplate	dataproc.cnrm.cloud.google.com	DCL	DCL
DatastoreIndex	datastore.cnrm.cloud.google.com	Terraform	Terraform
DatastreamConnectionProfile	datastream.cnrm.cloud.google.com	Direct	Direct
DatastreamPrivateConnection	datastream.cnrm.cloud.google.com	Direct	Direct
DatastreamRoute	datastream.cnrm.cloud.google.com	Direct	Direct
DatastreamStream	datastream.cnrm.cloud.google.com	Terraform	Terraform
DeploymentManagerDeployment	deploymentmanager.cnrm.cloud.google.com	Terraform	Terraform
DevConnectAccountConnector	developerconnect.cnrm.cloud.google.com	Direct	Direct
DevConnectInsightsConfig	developerconnect.cnrm.cloud.google.com	Direct	Direct
DeviceStreamingSession	devicestreaming.cnrm.cloud.google.com	Direct	Direct
DialogflowAgent	dialogflow.cnrm.cloud.google.com	Terraform	Terraform
DialogflowEntityType	dialogflow.cnrm.cloud.google.com	Terraform	Terraform
DialogflowFulfillment	dialogflow.cnrm.cloud.google.com	Terraform	Terraform
DialogflowIntent	dialogflow.cnrm.cloud.google.com	Terraform	Terraform
DialogflowSipTrunk	dialogflow.cnrm.cloud.google.com	Direct	Direct
DialogflowCXAgent	dialogflowcx.cnrm.cloud.google.com	Terraform	Terraform
DialogflowCXEntityType	dialogflowcx.cnrm.cloud.google.com	Terraform	Terraform
DialogflowCXFlow	dialogflowcx.cnrm.cloud.google.com	Terraform	Terraform
DialogflowCXIntent	dialogflowcx.cnrm.cloud.google.com	Terraform	Terraform
DialogflowCXPage	dialogflowcx.cnrm.cloud.google.com	Terraform	Terraform
DialogflowCXWebhook	dialogflowcx.cnrm.cloud.google.com	Terraform	Terraform
DiscoveryEngineConversation	discoveryengine.cnrm.cloud.google.com	Direct	Direct
DiscoveryEngineDataStore	discoveryengine.cnrm.cloud.google.com	Direct	Direct
DiscoveryEngineEngine	discoveryengine.cnrm.cloud.google.com	Direct	Direct
DiscoveryEngineLicenseConfig	discoveryengine.cnrm.cloud.google.com	Direct	Direct
DiscoveryEngineServingConfig	discoveryengine.cnrm.cloud.google.com	Direct	Direct
DiscoveryEngineSession	discoveryengine.cnrm.cloud.google.com	Direct	Direct
DiscoveryEngineUserStore	discoveryengine.cnrm.cloud.google.com	Direct	Direct
DLPConnection	dlp.cnrm.cloud.google.com	Direct	Direct
DLPDeidentifyTemplate	dlp.cnrm.cloud.google.com	DCL	DCL
DLPDiscoveryConfig	dlp.cnrm.cloud.google.com	Direct	Direct
DLPInspectTemplate	dlp.cnrm.cloud.google.com	DCL	DCL
DLPJobTrigger	dlp.cnrm.cloud.google.com	DCL	DCL
DLPStoredInfoType	dlp.cnrm.cloud.google.com	DCL	DCL
DNSManagedZone	dns.cnrm.cloud.google.com	Terraform	Direct+Terraform
DNSPolicy	dns.cnrm.cloud.google.com	Terraform	Direct+Terraform
DNSRecordSet	dns.cnrm.cloud.google.com	Terraform	Terraform
DNSResponsePolicy	dns.cnrm.cloud.google.com	Terraform	Direct+Terraform
DNSResponsePolicyRule	dns.cnrm.cloud.google.com	Terraform	Terraform
DocumentAIProcessor	documentai.cnrm.cloud.google.com	Direct	Direct
DocumentAIProcessorDefaultVersion	documentai.cnrm.cloud.google.com	Terraform	Terraform
DocumentAIProcessorVersion	documentai.cnrm.cloud.google.com	Direct	Direct
EdgeContainerCluster	edgecontainer.cnrm.cloud.google.com	Terraform	Terraform
EdgeContainerNodePool	edgecontainer.cnrm.cloud.google.com	Terraform	Terraform
EdgeContainerVpnConnection	edgecontainer.cnrm.cloud.google.com	Terraform	Terraform
EdgeNetworkNetwork	edgenetwork.cnrm.cloud.google.com	Terraform	Terraform
EdgeNetworkSubnet	edgenetwork.cnrm.cloud.google.com	Terraform	Terraform
EssentialContactsContact	essentialcontacts.cnrm.cloud.google.com	Direct	Direct
EventarcChannel	eventarc.cnrm.cloud.google.com	Direct	Direct
EventarcChannelConnection	eventarc.cnrm.cloud.google.com	Direct	Direct
EventarcEnrollment	eventarc.cnrm.cloud.google.com	Direct	Direct
EventarcGoogleAPISource	eventarc.cnrm.cloud.google.com	Direct	Direct
EventarcGoogleChannelConfig	eventarc.cnrm.cloud.google.com	Direct	Direct
EventarcTrigger	eventarc.cnrm.cloud.google.com	DCL	DCL
FilestoreBackup	filestore.cnrm.cloud.google.com	DCL	DCL
FilestoreInstance	filestore.cnrm.cloud.google.com	DCL	DCL
FilestoreSnapshot	filestore.cnrm.cloud.google.com	Terraform	Terraform
FirebaseAndroidApp	firebase.cnrm.cloud.google.com	Terraform	Terraform
FirebaseProject	firebase.cnrm.cloud.google.com	Terraform	Terraform
FirebaseWebApp	firebase.cnrm.cloud.google.com	Terraform	Terraform
FirebaseDatabaseInstance	firebasedatabase.cnrm.cloud.google.com	Terraform	Terraform
FirebaseHostingChannel	firebasehosting.cnrm.cloud.google.com	Terraform	Terraform
FirebaseHostingSite	firebasehosting.cnrm.cloud.google.com	Terraform	Terraform
FirebaseStorageBucket	firebasestorage.cnrm.cloud.google.com	Terraform	Terraform
FirestoreBackupSchedule	firestore.cnrm.cloud.google.com	Direct	Direct
FirestoreDatabase	firestore.cnrm.cloud.google.com	Direct	Direct
FirestoreDocument	firestore.cnrm.cloud.google.com	Direct	Direct
FirestoreField	firestore.cnrm.cloud.google.com	Direct	Direct
FirestoreIndex	firestore.cnrm.cloud.google.com	Terraform	Direct+Terraform
GeminiDataAnalyticsConversation	geminidataanalytics.cnrm.cloud.google.com	Direct	Direct
GKEBackupBackup	gkebackup.cnrm.cloud.google.com	Direct	Direct
GKEBackupBackupChannel	gkebackup.cnrm.cloud.google.com	Direct	Direct
GKEBackupBackupPlan	gkebackup.cnrm.cloud.google.com	Direct	Direct
GKEBackupRestore	gkebackup.cnrm.cloud.google.com	Direct	Direct
GKEBackupRestorePlan	gkebackup.cnrm.cloud.google.com	Direct	Direct
GKEHubFeature	gkehub.cnrm.cloud.google.com	DCL	DCL
GKEHubFeatureMembership	gkehub.cnrm.cloud.google.com	Direct	Direct
GKEHubFleet	gkehub.cnrm.cloud.google.com	Direct	Direct
GKEHubMembership	gkehub.cnrm.cloud.google.com	DCL	DCL
GKEHubMembershipBinding	gkehub.cnrm.cloud.google.com	Direct	Direct
GKEHubNamespace	gkehub.cnrm.cloud.google.com	Direct	Direct
GKEHubScope	gkehub.cnrm.cloud.google.com	Direct	Direct
GKEHubScopeRBACRoleBinding	gkehub.cnrm.cloud.google.com	Direct	Direct
GKEMulticloudAttachedCluster	gkemulticloud.cnrm.cloud.google.com	Direct	Direct
GrafeasNote	grafeas.cnrm.cloud.google.com	Direct	Direct
HealthcareConsentStore	healthcare.cnrm.cloud.google.com	Terraform	Terraform
HealthcareDICOMStore	healthcare.cnrm.cloud.google.com	Terraform	Terraform
HealthcareDataset	healthcare.cnrm.cloud.google.com	Terraform	Terraform
HealthcareFHIRStore	healthcare.cnrm.cloud.google.com	Terraform	Terraform
HealthcareHL7V2Store	healthcare.cnrm.cloud.google.com	Terraform	Terraform
HypercomputeClusterCluster	hypercomputecluster.cnrm.cloud.google.com	Direct	Direct
IAMAccessBoundaryPolicy	iam.cnrm.cloud.google.com	Terraform	Terraform
IAMAuditConfig	iam.cnrm.cloud.google.com	IAMAuditConfig	IAMAuditConfig
IAMCustomRole	iam.cnrm.cloud.google.com	Terraform	Terraform
IAMDenyPolicy	iam.cnrm.cloud.google.com	Direct	Direct
IAMPartialPolicy	iam.cnrm.cloud.google.com	IAMPartialPolicy	Direct+IAMPartialPolicy
IAMPolicy	iam.cnrm.cloud.google.com	IAMPolicy	IAMPolicy
IAMPolicyMember	iam.cnrm.cloud.google.com	IAMPolicyMember	IAMPolicyMember
IAMServiceAccount	iam.cnrm.cloud.google.com	Terraform	Terraform
IAMServiceAccountKey	iam.cnrm.cloud.google.com	Terraform	Terraform
IAMWorkforcePool	iam.cnrm.cloud.google.com	DCL	DCL
IAMWorkforcePoolProvider	iam.cnrm.cloud.google.com	DCL	DCL
IAMWorkloadIdentityPool	iam.cnrm.cloud.google.com	DCL	DCL
IAMWorkloadIdentityPoolProvider	iam.cnrm.cloud.google.com	DCL	DCL
