ApigeeRegistryInstance	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_apigeeregistryinstances.apigeeregistry.cnrm.cloud.google.com.yaml
ApigeeSyncAuthorization	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_apigeesyncauthorizations.apigee.cnrm.cloud.google.com.yaml
AppEngineDomainMapping	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_appenginedomainmappings.appengine.cnrm.cloud.google.com.yaml
AppEngineFirewallRule	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_appenginefirewallrules.appengine.cnrm.cloud.google.com.yaml
AppEngineFlexibleAppVersion	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_appengineflexibleappversions.appengine.cnrm.cloud.google.com.yaml
AppEngineServiceSplitTraffic	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_appengineservicesplittraffics.appengine.cnrm.cloud.google.com.yaml
AppEngineStandardAppVersion	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_appenginestandardappversions.appengine.cnrm.cloud.google.com.yaml
AppHubApplication	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_apphubapplications.apphub.cnrm.cloud.google.com.yaml
AppHubDiscoveredService	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_apphubdiscoveredservices.apphub.cnrm.cloud.google.com.yaml
AppHubDiscoveredWorkload	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_apphubdiscoveredworkloads.apphub.cnrm.cloud.google.com.yaml
AppHubServiceProjectAttachment	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_apphubserviceprojectattachments.apphub.cnrm.cloud.google.com.yaml
AppOptimizeReport	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_appoptimizereports.appoptimize.cnrm.cloud.google.com.yaml
ArtifactRegistryRepository	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_artifactregistryrepositories.artifactregistry.cnrm.cloud.google.com.yaml
ArtifactRegistryVPCSCConfig	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_artifactregistryvpcscconfigs.artifactregistry.cnrm.cloud.google.com.yaml
AssetFeed	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_assetfeeds.asset.cnrm.cloud.google.com.yaml
AssetSavedQuery	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_assetsavedqueries.asset.cnrm.cloud.google.com.yaml
AssuredWorkloadsWorkload	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_assuredworkloadsworkloads.assuredworkloads.cnrm.cloud.google.com.yaml
AutoMLDataset	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_automldatasets.automl.cnrm.cloud.google.com.yaml
BackupDRBackupPlan	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_backupdrbackupplans.backupdr.cnrm.cloud.google.com.yaml
BackupDRBackupPlanAssociation	config/crds/resources/apiextensions.k8s.io_v1_customresourcedefinition_backupdrbackupplanassociations.backupdr.cnrm.cloud.google.com.yaml
